,Open,High,Low,Close,Adj Close,Volume
2025-03-05,278.305,311.28,271.77,308.55,308.55,26199769
2025-03-06,298.95,320.94,292.17,304.11,304.11,25309508
2025-03-07,298.145,310.44,281.44,287.18,287.18,22764487
2025-03-10,268.0,272.0,231.62,239.27,239.27,31190486
2025-03-11,245.0,263.0999,231.51,260.59,260.59,22076133
2025-03-12,264.6,269.7721,248.22,262.55,262.55,14328551
2025-03-13,262.0,270.405,253.76,263.26,263.26,13804685
2025-03-14,273.99,298.7,272.62,297.49,297.49,23714043
2025-03-17,292.15,296.8068,281.6,294.27,294.27,12998721
2025-03-18,283.2,290.99,272.5,283.19,283.19,15398200
2025-03-19,290.3,309.0832,287.12,304.23,304.23,19378788
2025-03-20,298.79,309.4,293.4,302.07,302.07,15058059
2025-03-21,295.7,306.39,293.0493,304.0,304.0,21773999
2025-03-24,316.14,336.77,311.36,335.72,335.72,23099744
2025-03-25,333.48,343.5899,329.5,341.81,341.81,15053724
2025-03-26,336.5,340.3399,319.73,329.31,329.31,16797178
2025-03-27,322.53,333.49,318.0,324.59,324.59,13838338
2025-03-28,318.38,320.8,289.25,289.41,289.41,21058915
2025-03-31,281.87,294.885,272.8,288.27,288.27,14866292
2025-04-01,293.53,307.6,280.6509,306.02,306.02,16780113
2025-04-02,297.86,319.47,296.98,312.54,312.54,16293825
2025-04-03,286.75,299.2249,276.03,282.28,282.28,18223003
2025-04-04,285.015,299.14,265.3022,293.61,293.61,24847129
2025-04-07,260.14,297.6,252.6,268.14,268.14,28449324
2025-04-08,278.15,282.8394,235.93,237.95,237.95,22952708
2025-04-09,242.015,302.34,241.69,296.86,296.86,38346353
2025-04-10,282.5,288.3119,261.37,272.34,272.34,19237822
2025-04-11,281.3,304.15,276.3001,299.98,299.98,21334111
2025-04-14,309.8,314.6,300.1,311.45,311.45,15635383
2025-04-15,312.22,319.75,306.81,310.72,310.72,11217784
2025-04-16,306.06,318.6,304.0,311.66,311.66,12847246
2025-04-17,313.89,320.0,306.0,317.2,317.2,13511095
2025-04-21,324.99,330.994,309.0,317.76,317.76,16053189
2025-04-22,328.705,348.9599,327.01,343.03,343.03,24036452
2025-04-23,354.7,355.83,339.0,345.73,345.73,16690664
2025-04-24,344.97,351.03,343.2401,350.34,350.34,10781381
2025-04-25,354.0,373.23,353.12,368.71,368.71,19338560
2025-04-28,373.29,373.66,354.53,369.25,369.25,11490917
2025-04-29,369.02,383.95,366.8,381.45,381.45,13038829
2025-04-30,373.775,384.0,362.3901,380.11,380.11,13762876
2025-05-01,392.29,403.9,381.03,381.6,381.6,16944133
2025-05-02,393.875,401.7,387.51,394.37,394.37,15947978
2025-05-05,383.33,391.93,374.2,386.53,386.53,14424129
2025-05-06,378.56,387.86,377.77,385.6,385.6,9695615
2025-05-07,393.8,396.35,388.26,392.48,392.48,10607553
2025-05-08,408.165,423.105,404.5,414.38,414.38,22135578
2025-05-09,420.0,430.3499,406.22,416.03,416.03,17161815
2025-05-12,420.92,422.04,400.83,404.9,404.9,16245468
2025-05-13,412.5499,422.55,404.12,421.61,421.61,12924974
2025-05-14,420.395,425.94,410.41,416.75,416.75,10722652
2025-05-15,411.7,415.36,394.14,397.03,397.03,14674666
2025-05-16,399.0,406.8965,389.01,399.8,399.8,12461115
2025-05-19,392.81,414.59,392.62,413.42,413.42,12821966
2025-05-20,413.5,417.85,406.1025,416.92,416.92,11532230
2025-05-21,415.92,423.34,395.5285,402.69,402.69,18698520
2025-05-22,413.2,426.32,398.91,399.46,399.46,16511372
2025-05-23,391.51,392.19,367.31,369.51,369.51,21448767
2025-05-27,381.115,381.3,364.18,372.2,372.2,14115975
2025-05-28,368.53,370.6523,358.5,364.25,364.25,9936835
2025-05-29,370.785,373.86,362.74,370.63,370.63,10217575
2025-05-30,369.0,372.56,359.155,369.06,369.06,12564026
2025-06-02,367.885,378.43,367.019,372.27,372.27,8102772
2025-06-03,379.4,391.0099,371.37,387.43,387.43,11351756
2025-06-04,385.8,386.12,375.66,378.1,378.1,8472192
2025-06-05,383.85,385.3799,364.3029,368.79,368.79,11957637
2025-06-06,377.4,380.6,369.71,374.47,374.47,9384245
2025-06-09,380.68,394.79,377.6,392.12,392.12,10924592
2025-06-10,393.24,394.0,383.6,391.18,391.18,7074796
2025-06-11,391.23,392.77,380.5,387.11,387.11,6812152
2025-06-12,378.4,391.22,373.9825,379.76,379.76,9423919
2025-06-13,375.225,383.56,370.62,382.87,382.87,9378928
2025-06-16,387.61,388.15,377.4,382.25,382.25,8105204
2025-06-17,375.255,378.48,367.0001,375.18,375.18,11218473
2025-06-18,371.43,374.9099,367.42,369.03,369.03,9200504
2025-06-20,372.75,376.1,365.11,369.7,369.7,12821792
2025-06-23,362.48,370.3,358.8,367.18,367.18,10614707
2025-06-24,373.68,384.3559,371.0,377.02,377.02,10174889
2025-06-25,384.83,389.49,379.31,388.67,388.67,10606562
2025-06-26,386.35,392.67,384.15,386.44,386.44,10202328
2025-06-27,385.225,397.99,383.41,383.88,383.88,18694416
2025-06-30,389.78,407.3901,384.25,404.23,404.23,13752875
2025-07-01,395.7,397.8746,372.91,373.3,373.3,17289648
2025-07-02,383.34,405.2986,379.88,402.28,402.28,17454404
2025-07-03,400.87,414.6,400.4,403.99,403.99,10013902
2025-07-07,402.635,405.64,395.2,395.67,395.67,8848175
2025-07-08,399.692,402.1999,393.21,396.94,396.94,7022739
2025-07-09,401.6,416.34,395.95,415.41,415.41,13065370
2025-07-10,412.565,422.3999,411.2,421.74,421.74,13208563
2025-07-11,430.54,438.84,423.5,434.58,434.58,18448533
2025-07-14,447.2,456.45,440.65,451.02,451.02,17952539
2025-07-15,445.22,456.66,441.0186,442.31,442.31,14315363
2025-07-16,448.31,457.22,445.56,455.9,455.9,10575446
2025-07-17,451.675,456.0,446.58,451.34,451.34,8901408
2025-07-18,451.72,454.33,422.22,423.22,423.22,19105360
2025-07-21,430.1,437.0,425.02,426.28,426.28,9984473
2025-07-22,428.845,433.94,413.6,426.4,426.4,10524157
2025-07-23,422.83,424.0,406.1001,412.67,412.67,12990043
2025-07-24,414.58,419.95,406.17,414.92,414.92,7407323
2025-07-25,405.67,410.95,402.2,405.89,405.89,8380224
2025-07-28,416.945,417.01,403.46,403.8,403.8,6996547
2025-07-29,405.96,407.0,390.4108,394.66,394.66,10580031
2025-07-30,396.78,404.39,392.59,395.04,395.04,7543791
2025-07-31,399.125,410.81,397.08,401.86,401.86,10467511
2025-08-01,390.405,392.64,365.7,366.63,366.63,21808902
2025-08-04,372.77,390.02,366.2001,389.24,389.24,12362382
2025-08-05,384.175,388.305,373.35,375.46,375.46,8467080
2025-08-06,374.75,384.42,373.001,383.41,383.41,7242638
2025-08-07,388.4,406.24,387.14,402.01,402.01,13051194
2025-08-08,397.6,409.65,389.03,395.13,395.13,11200116
2025-08-11,403.92,414.36,398.92,400.25,400.25,10394429
2025-08-12,400.5,401.67,390.14,394.39,394.39,8365108
2025-08-13,397.73,399.44,383.55,389.9,389.9,10884943
2025-08-14,380.0,381.0,365.0,372.94,372.94,16461651
2025-08-15,372.21,372.62,360.0322,366.32,366.32,13125281
2025-08-18,359.945,367.5658,358.01,363.6,363.6,9001954
2025-08-19,363.19,364.63,333.4,336.57,336.57,18254611
2025-08-20,339.38,345.5,325.56,344.37,344.37,13807212
2025-08-21,340.0,343.27,334.85,337.58,337.58,8398545
2025-08-22,335.2,359.53,332.61,358.13,358.13,17386939
2025-08-25,344.91,351.51,339.2109,343.2,343.2,10983426
2025-08-26,341.805,351.99,340.68,351.36,351.36,9144162
2025-08-27,348.68,351.77,341.84,342.06,342.06,8454295
2025-08-28,346.16,348.1699,336.65,338.84,338.84,8116129
2025-08-29,334.6,339.63,332.64,334.41,334.41,10162267
2025-09-02,334.93,348.6,331.57,341.62,341.62,11123010
2025-09-03,341.77,344.5,327.609,330.26,330.26,9124235
